wwtp,target,load_per_case
ARA Altenrhein,IAV-M,3005097625.37792
ARA Altenrhein,IBV-M,455582030.0325776
ARA Altenrhein,RSV-N,11936699291.950867
ARA Altenrhein,SARS-N1,85946148468.36862
ARA Altenrhein,SARS-N2,136681189825.7428
ARA Chur,IAV-M,844515397.2954317
ARA Chur,IBV-M,527982246.7194863
ARA Chur,RSV-N,12001478654.820438
ARA Chur,SARS-N1,83423730192.07141
ARA Chur,SARS-N2,125012864423.56076
ARA Sensetal,IAV-M,702003626.2200944
ARA Sensetal,IBV-M,3074719692.291667
ARA Sensetal,RSV-N,6560357956.410051
ARA Sensetal,SARS-N1,44365721311.6095
ARA Sensetal,SARS-N2,126758401620.88718
ARA Werdhoelzli,IAV-M,8084543015.716021
ARA Werdhoelzli,IBV-M,28698945283.774097
ARA Werdhoelzli,RSV-N,15571487590.3878
ARA Werdhoelzli,SARS-N1,93737645796.11197
ARA Werdhoelzli,SARS-N2,167076258524.56714
CDA Lugano,IAV-M,9092135396.604212
CDA Lugano,IBV-M,612017816.539832
CDA Lugano,RSV-N,4440432948.225436
CDA Lugano,SARS-N1,56523031939.00225
CDA Lugano,SARS-N2,196699647987.33258
STEP Aire,IAV-M,2397511199.180478
STEP Aire,IBV-M,5530844602.034265
STEP Aire,RSV-N,5412019288.174821
STEP Aire,SARS-N1,48960901895.24892
STEP Aire,SARS-N2,112474201167.10406
