"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Zurich","SARS-CoV-2",0.5,0,0,0,0.471330275229358,-0.0286697247706422
"Zurich","SARS-CoV-2",0.45,10,0.100917431192661,0.000917431192660607,0.419724770642202,-0.0302752293577978
"Zurich","SARS-CoV-2",0.55,10,0.100917431192661,0.000917431192660607,0.520642201834862,-0.0293577981651381
"Zurich","SARS-CoV-2",0.4,20,0.200688073394495,0.000688073394495517,0.381880733944954,-0.0181192660550456
"Zurich","SARS-CoV-2",0.6,20,0.200688073394495,0.000688073394495517,0.582568807339449,-0.0174311926605504
"Zurich","SARS-CoV-2",0.35,30,0.306192660550459,0.00619266055045831,0.326834862385321,-0.0231651376146793
"Zurich","SARS-CoV-2",0.65,30,0.306192660550459,0.00619266055045831,0.63302752293578,-0.0169724770642201
"Zurich","SARS-CoV-2",0.3,40,0.393348623853211,-0.00665137614678881,0.29243119266055,-0.00756880733944984
"Zurich","SARS-CoV-2",0.7,40,0.393348623853211,-0.00665137614678881,0.685779816513762,-0.0142201834862383
"Zurich","SARS-CoV-2",0.25,50,0.479357798165138,-0.0206422018348624,0.253440366972477,0.00344036697247706
"Zurich","SARS-CoV-2",0.75,50,0.479357798165138,-0.0206422018348624,0.732798165137615,-0.0172018348623853
"Zurich","SARS-CoV-2",0.2,60,0.595183486238532,-0.00481651376146838,0.192660550458716,-0.00733944954128409
"Zurich","SARS-CoV-2",0.8,60,0.595183486238532,-0.00481651376146838,0.787844036697248,-0.0121559633027526
"Zurich","SARS-CoV-2",0.15,70,0.692660550458716,-0.00733944954128395,0.147935779816514,-0.00206422018348614
"Zurich","SARS-CoV-2",0.85,70,0.692660550458716,-0.00733944954128395,0.840596330275229,-0.00940366972477093
"Zurich","SARS-CoV-2",0.1,80,0.783256880733945,-0.0167431192660556,0.102064220183486,0.00206422018348626
"Zurich","SARS-CoV-2",0.9,80,0.783256880733945,-0.0167431192660556,0.885321100917431,-0.0146788990825684
"Zurich","SARS-CoV-2",0.05,90,0.878440366972477,-0.0215596330275226,0.0642201834862385,0.0142201834862383
"Zurich","SARS-CoV-2",0.95,90,0.878440366972477,-0.0215596330275226,0.942660550458716,-0.00733944954128415
"Zurich","SARS-CoV-2",0.005,99,0.985091743119266,-0.00490825688073405,0.00688073394495413,0.00188073394495421
"Zurich","SARS-CoV-2",0.995,99,0.985091743119266,-0.00490825688073405,0.99197247706422,-0.0030275229357799
"Zurich","IAV",0.5,0,0.0942587832047986,0.0942587832047986,0.497000856898029,-0.00299914310197087
"Zurich","IAV",0.45,10,0.197943444730077,0.0979434447300775,0.453299057412168,0.00329905741216589
"Zurich","IAV",0.55,10,0.197943444730077,0.0979434447300775,0.537275064267352,-0.0127249357326458
"Zurich","IAV",0.4,20,0.288774635818338,0.0887746358183376,0.413024850042845,0.0130248500428453
"Zurich","IAV",0.6,20,0.288774635818338,0.0887746358183376,0.577549271636675,-0.0224507283633241
"Zurich","IAV",0.35,30,0.375321336760925,0.0753213367609254,0.383890317052271,0.0338903170522699
"Zurich","IAV",0.65,30,0.375321336760925,0.0753213367609254,0.618680377035133,-0.0313196229648677
"Zurich","IAV",0.3,40,0.460154241645244,0.0601542416452448,0.348757497857755,0.0487574978577554
"Zurich","IAV",0.7,40,0.460154241645244,0.0601542416452448,0.660668380462725,-0.0393316195372774
