"wwtp","target","infection_trend_type","bias","nudge_y"
"Zurich","SARS-CoV-2","decreasing",0.247816137566138,0.225
"Zurich","SARS-CoV-2","increasing",-0.189379016354016,0.375
"Zurich","IAV","increasing",-0.110328819759052,0.075
"Zurich","IAV","decreasing",-0.0558522138680033,-0.075
"Zurich","RSV","increasing",-0.0138493556252178,-0.225
"Zurich","RSV","decreasing",0.0865466646574241,-0.375
"Lugano","SARS-CoV-2","increasing",-0.293023221634333,0.375
"Lugano","SARS-CoV-2","decreasing",0.06823033126294,0.225
"Lugano","IAV","increasing",-0.047378253968254,0.075
"Lugano","IAV","decreasing",0.154526214526215,-0.075
"Lugano","RSV","increasing",0.252037037037037,-0.225
"Lugano","RSV","decreasing",0.0280403370970381,-0.375
"Chur","SARS-CoV-2","increasing",-0.262222222222222,0.375
"Chur","SARS-CoV-2","decreasing",0.127940170940171,0.225
"Chur","IAV","increasing",-0.199044566544567,0.075
"Chur","IAV","decreasing",0.0642146400226758,-0.075
"Chur","RSV","increasing",-0.160777777777778,-0.225
"Chur","RSV","decreasing",0.0140515289449113,-0.375
