"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Zurich","SARS-CoV-2",0.95,90,0.888979591836735,-0.0110204081632648,0.966530612244898,0.0165306122448984
"Zurich","SARS-CoV-2",0.005,99,0.972244897959184,-0.0177551020408163,0.0228571428571429,0.0178571428571428
"Zurich","SARS-CoV-2",0.995,99,0.972244897959184,-0.0177551020408163,0.995102040816327,0.000102040816326458
"Zurich","IAV",0.5,0,0.0210526315789474,0.0210526315789474,0.556842105263158,0.0568421052631579
"Zurich","IAV",0.45,10,0.121052631578947,0.0210526315789474,0.511578947368421,0.0615789473684194
"Zurich","IAV",0.55,10,0.121052631578947,0.0210526315789474,0.611578947368421,0.0615789473684227
"Zurich","IAV",0.4,20,0.235789473684211,0.0357894736842106,0.455789473684211,0.055789473684209
"Zurich","IAV",0.6,20,0.235789473684211,0.0357894736842106,0.667368421052632,0.0673684210526343
"Zurich","IAV",0.35,30,0.352631578947368,0.052631578947369,0.389473684210526,0.0394736842105259
"Zurich","IAV",0.65,30,0.352631578947368,0.052631578947369,0.715789473684211,0.0657894736842081
"Zurich","IAV",0.3,40,0.463157894736842,0.0631578947368426,0.325263157894737,0.0252631578947372
"Zurich","IAV",0.7,40,0.463157894736842,0.0631578947368426,0.754736842105263,0.0547368421052616
"Zurich","IAV",0.25,50,0.582105263157895,0.0821052631578947,0.258947368421053,0.00894736842105263
"Zurich","IAV",0.75,50,0.582105263157895,0.0821052631578947,0.804210526315789,0.0542105263157895
"Zurich","IAV",0.2,60,0.697894736842105,0.0978947368421059,0.194736842105263,-0.00526315789473668
"Zurich","IAV",0.8,60,0.697894736842105,0.0978947368421059,0.852631578947368,0.0526315789473696
"Zurich","IAV",0.15,70,0.801052631578947,0.101052631578946,0.138947368421053,-0.0110526315789468
"Zurich","IAV",0.85,70,0.801052631578947,0.101052631578946,0.890526315789474,0.0405263157894728
"Zurich","IAV",0.1,80,0.872631578947368,0.0726315789473693,0.108421052631579,0.00842105263157881
"Zurich","IAV",0.9,80,0.872631578947368,0.0726315789473693,0.918947368421053,0.0189473684210531
"Zurich","IAV",0.05,90,0.938947368421053,0.0389473684210531,0.08,0.0299999999999997
"Zurich","IAV",0.95,90,0.938947368421053,0.0389473684210531,0.955789473684211,0.00578947368421084
"Zurich","IAV",0.005,99,0.995789473684211,0.00578947368421044,0.0631578947368421,0.0581578947368419
"Zurich","IAV",0.995,99,0.995789473684211,0.00578947368421044,0.995789473684211,0.000789473684210474
"Zurich","RSV",0.5,0,0.00575539568345324,0.00575539568345324,0.542446043165468,0.0424460431654676
"Zurich","RSV",0.45,10,0.107194244604317,0.00719424460431678,0.494964028776978,0.0449640287769782
"Zurich","RSV",0.55,10,0.107194244604317,0.00719424460431678,0.59568345323741,0.0456834532374105
"Zurich","RSV",0.4,20,0.215107913669065,0.0151079136690652,0.451798561151079,0.0517985611510796
"Zurich","RSV",0.6,20,0.215107913669065,0.0151079136690652,0.656834532374101,0.0568345323741
"Zurich","RSV",0.35,30,0.323021582733813,0.023021582733813,0.407913669064748,0.0579136690647478
"Zurich","RSV",0.65,30,0.323021582733813,0.023021582733813,0.717985611510791,0.0679856115107917
