"wwtp","target","h_week","MAE"
"Zurich","SARS-CoV-2",0,0.0643171697142857
"Zurich","SARS-CoV-2",-1,0.0732222617938439
"Zurich","SARS-CoV-2",-2,0.0775950871621181
"Zurich","SARS-CoV-2",1,0.0471213238894741
"Zurich","SARS-CoV-2",2,0.0247729433106576
"Zurich","SARS-CoV-2",3,0.0119351366213152
"Zurich","SARS-CoV-2",4,0.00902800340136054
"Zurich","SARS-CoV-2",5,0.00788914877097506
"Zurich","SARS-CoV-2",6,0.0062337619047619
"Zurich","SARS-CoV-2",7,0.00592231822675736
"Zurich","SARS-CoV-2",8,0.00539975351800115
"Zurich","SARS-CoV-2",9,0.00532271487603305
"Zurich","IAV",0,0.0529712054039687
"Zurich","IAV",-1,0.0760328907941806
"Zurich","IAV",-2,0.0875461313088588
"Zurich","IAV",1,0.02953990625
"Zurich","IAV",2,0.0133034251723058
"Zurich","IAV",3,0.00580686681547619
"Zurich","IAV",4,0.00354656337386018
"Zurich","IAV",5,0.00267561018237083
"Zurich","IAV",6,0.00213730208542043
"Zurich","IAV",7,0.00189404398751085
"Zurich","IAV",8,0.0017354688016156
"Zurich","IAV",9,0.00155212790697675
"Zurich","RSV",0,0.114109106314228
"Zurich","RSV",-1,0.132466381039151
"Zurich","RSV",-2,0.140623434778613
"Zurich","RSV",1,0.0863754341511073
"Zurich","RSV",2,0.0568509286546533
"Zurich","RSV",3,0.0300224761271728
"Zurich","RSV",4,0.0137020983399072
"Zurich","RSV",5,0.00862751280522523
"Zurich","RSV",6,0.00791458988376373
"Zurich","RSV",7,0.00735328019821528
"Zurich","RSV",8,0.00577075721402694
"Zurich","RSV",9,0.00477969767441861
"Lugano","SARS-CoV-2",0,0.0661913279429396
"Lugano","SARS-CoV-2",-1,0.0737079672712953
"Lugano","SARS-CoV-2",-2,0.0772855863923402
"Lugano","SARS-CoV-2",1,0.0505182200255517
"Lugano","SARS-CoV-2",2,0.0293604862857143
"Lugano","SARS-CoV-2",3,0.0133978456774194
"Lugano","SARS-CoV-2",4,0.00694165714285714
"Lugano","SARS-CoV-2",5,0.00561564557603686
"Lugano","SARS-CoV-2",6,0.00410002342857142
"Lugano","SARS-CoV-2",7,0.00277144484353741
"Lugano","SARS-CoV-2",8,0.00244619645966983
"Lugano","SARS-CoV-2",9,0.00232305371900825
"Lugano","IAV",0,0.0702801679066478
"Lugano","IAV",-1,0.107248026868031
"Lugano","IAV",-2,0.125382096970318
"Lugano","IAV",1,0.0340429553041018
"Lugano","IAV",2,0.0130383653818953
"Lugano","IAV",3,0.00932868521216408
"Lugano","IAV",4,0.00540766516265912
"Lugano","IAV",5,0.00410484718528996
"Lugano","IAV",6,0.0035011064621433
"Lugano","IAV",7,0.00334487000668524
"Lugano","IAV",8,0.00293577001162828
"Lugano","IAV",9,0.00281605913978495
"Lugano","RSV",0,0.14021481955102
"Lugano","RSV",-1,0.16830341399518
"Lugano","RSV",-2,0.190312868233209
"Lugano","RSV",1,0.104728750566893
"Lugano","RSV",2,0.065929565172555
"Lugano","RSV",3,0.0373820438018433
"Lugano","RSV",4,0.01999598200451
"Lugano","RSV",5,0.0120278895441823
"Lugano","RSV",6,0.0102587059631873
"Lugano","RSV",7,0.00985898913813459
"Lugano","RSV",8,0.00994532977796717
"Lugano","RSV",9,0.00981030869565216
"Chur","SARS-CoV-2",0,0.088034843205003
"Chur","SARS-CoV-2",-1,0.10825832934167
"Chur","SARS-CoV-2",-2,0.115020409411252
"Chur","SARS-CoV-2",1,0.0609195799588195
"Chur","SARS-CoV-2",2,0.0347234295232763
"Chur","SARS-CoV-2",3,0.0149715247800352
"Chur","SARS-CoV-2",4,0.00731115952647578
"Chur","SARS-CoV-2",5,0.00631041178411455
"Chur","SARS-CoV-2",6,0.00537258066259398
"Chur","SARS-CoV-2",7,0.00426965517700502
"Chur","SARS-CoV-2",8,0.00335793213296088
"Chur","SARS-CoV-2",9,0.00334376923076924
"Chur","IAV",0,0.0776500254545455
"Chur","IAV",-1,0.105788736785499
"Chur","IAV",-2,0.124608798200301
"Chur","IAV",1,0.0467067987012987
"Chur","IAV",2,0.0204873040485708
"Chur","IAV",4,0.0068293193493635
"Chur","IAV",3,0.00884940539343293
"Chur","IAV",5,0.00580119785714286
"Chur","IAV",6,0.0049497829092676
"Chur","IAV",7,0.00449272490208204
"Chur","IAV",8,0.00351207170594802
"Chur","IAV",9,0.00304276086956522
"Chur","RSV",0,0.108505244024123
"Chur","RSV",-1,0.132543127547369
"Chur","RSV",-2,0.14996436533258
"Chur","RSV",1,0.0760780050516917
"Chur","RSV",2,0.0425096840147243
"Chur","RSV",3,0.0217263175986842
"Chur","RSV",4,0.0112380804245514
"Chur","RSV",6,0.00877216933744226
"Chur","RSV",5,0.0097782610116878
"Chur","RSV",7,0.00727441188021599
"Chur","RSV",8,0.0057053501433652
"Chur","RSV",9,0.00512074999999999
