"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Zurich","SARS-CoV-2",0.5,0,0,0,0.509063444108761,0.00906344410876133
"Zurich","SARS-CoV-2",0.45,10,0.0845921450151057,-0.015407854984894,0.466767371601208,0.0167673716012088
"Zurich","SARS-CoV-2",0.55,10,0.0845921450151057,-0.015407854984894,0.551359516616314,0.00135951661631398
"Zurich","SARS-CoV-2",0.4,20,0.194864048338369,-0.00513595166163144,0.415407854984894,0.0154078549848942
"Zurich","SARS-CoV-2",0.6,20,0.194864048338369,-0.00513595166163144,0.610271903323263,0.0102719033232628
"Zurich","SARS-CoV-2",0.35,30,0.282477341389728,-0.0175226586102722,0.368580060422961,0.0185800604229607
"Zurich","SARS-CoV-2",0.65,30,0.282477341389728,-0.0175226586102722,0.651057401812689,0.00105740181268877
"Zurich","SARS-CoV-2",0.3,40,0.36404833836858,-0.0359516616314196,0.330815709969789,0.0308157099697884
"Zurich","SARS-CoV-2",0.7,40,0.36404833836858,-0.0359516616314196,0.694864048338369,-0.00513595166163125
"Zurich","SARS-CoV-2",0.25,50,0.5,0,0.273413897280967,0.0234138972809668
"Zurich","SARS-CoV-2",0.75,50,0.5,0,0.773413897280967,0.0234138972809668
"Zurich","SARS-CoV-2",0.2,60,0.607250755287009,0.00725075528700885,0.225075528700906,0.0250755287009066
"Zurich","SARS-CoV-2",0.8,60,0.607250755287009,0.00725075528700885,0.832326283987915,0.0323262839879152
"Zurich","SARS-CoV-2",0.15,70,0.708459214501511,0.00845921450151034,0.166163141993958,0.0161631419939578
"Zurich","SARS-CoV-2",0.85,70,0.708459214501511,0.00845921450151034,0.874622356495468,0.0246223564954679
"Zurich","SARS-CoV-2",0.1,80,0.806646525679758,0.00664652567975847,0.105740181268882,0.00574018126888208
"Zurich","SARS-CoV-2",0.9,80,0.806646525679758,0.00664652567975847,0.91238670694864,0.0123867069486405
"Zurich","SARS-CoV-2",0.05,90,0.877643504531722,-0.0223564954682779,0.0604229607250755,0.0104229607250755
"Zurich","SARS-CoV-2",0.95,90,0.877643504531722,-0.0223564954682779,0.938066465256798,-0.0119335347432023
"Zurich","SARS-CoV-2",0.005,99,0.978851963746224,-0.0111480362537766,0.00755287009063444,0.00255287009063451
"Zurich","SARS-CoV-2",0.995,99,0.978851963746224,-0.0111480362537766,0.986404833836858,-0.00859516616314209
"Zurich","IAV",0.5,0,0.0161507402422611,0.0161507402422611,0.543741588156124,0.0437415881561238
"Zurich","IAV",0.45,10,0.133243606998654,0.0332436069986541,0.483176312247645,0.0331763122476448
"Zurich","IAV",0.55,10,0.133243606998654,0.0332436069986541,0.593539703903096,0.0435397039030962
"Zurich","IAV",0.4,20,0.240915208613728,0.0409152086137284,0.434724091520861,0.0347240915208621
"Zurich","IAV",0.6,20,0.240915208613728,0.0409152086137284,0.647375504710633,0.0473755047106317
"Zurich","IAV",0.35,30,0.368775235531629,0.0687752355316289,0.370121130551817,0.0201211305518167
"Zurich","IAV",0.65,30,0.368775235531629,0.0687752355316289,0.706594885598923,0.0565948855989241
"Zurich","IAV",0.3,40,0.496635262449529,0.0966352624495289,0.301480484522207,0.00148048452220695
"Zurich","IAV",0.7,40,0.496635262449529,0.0966352624495289,0.753701211305518,0.0537012113055176
"Zurich","IAV",0.25,50,0.617765814266487,0.117765814266487,0.248990578734859,-0.00100942126514132
"Zurich","IAV",0.75,50,0.617765814266487,0.117765814266487,0.815612382234186,0.0656123822341857
"Zurich","IAV",0.2,60,0.730820995962315,0.130820995962316,0.184387617765814,-0.0156123822341854
"Zurich","IAV",0.8,60,0.730820995962315,0.130820995962316,0.862718707940781,0.0627187079407812
"Zurich","IAV",0.15,70,0.790040376850606,0.0900403768506044,0.154777927321669,0.00477792732166938
"Zurich","IAV",0.85,70,0.790040376850606,0.0900403768506044,0.892328398384926,0.0423283983849254
"Zurich","IAV",0.1,80,0.845222072678331,0.0452220726783311,0.122476446837147,0.0224764468371465
"Zurich","IAV",0.9,80,0.845222072678331,0.0452220726783311,0.915208613728129,0.0152086137281293
"Zurich","IAV",0.05,90,0.893674293405114,-0.00632570659488579,0.0969044414535666,0.0469044414535667
"Zurich","IAV",0.95,90,0.893674293405114,-0.00632570659488579,0.938088829071332,-0.0119111709286675
"Zurich","IAV",0.005,99,0.978465679676985,-0.0115343203230149,0.0592193808882907,0.0542193808882906
"Zurich","IAV",0.995,99,0.978465679676985,-0.0115343203230149,0.985195154777927,-0.00980484522207274
"Zurich","RSV",0.5,0,0,0,0.493742889647326,-0.00625711035267349
"Zurich","RSV",0.45,10,0.080773606370876,-0.0192263936291239,0.449374288964733,-0.000625711035268031
"Zurich","RSV",0.55,10,0.080773606370876,-0.0192263936291239,0.530147895335609,-0.0198521046643906
"Zurich","RSV",0.4,20,0.160409556313993,-0.0395904436860066,0.407281001137656,0.00728100113765722
"Zurich","RSV",0.6,20,0.160409556313993,-0.0395904436860066,0.56769055745165,-0.0323094425483517
"Zurich","RSV",0.35,30,0.228668941979522,-0.0713310580204774,0.369738339021615,0.0197383390216147
"Zurich","RSV",0.65,30,0.228668941979522,-0.0713310580204774,0.598407281001138,-0.0515927189988612
"Zurich","RSV",0.3,40,0.302616609783845,-0.0973833902161548,0.332195676905574,0.0321956769055748
"Zurich","RSV",0.7,40,0.302616609783845,-0.0973833902161548,0.63481228668942,-0.0651877133105826
"Zurich","RSV",0.25,50,0.410693970420933,-0.0893060295790671,0.291240045506257,0.0412400455062571
"Zurich","RSV",0.75,50,0.410693970420933,-0.0893060295790671,0.70193401592719,-0.04806598407281
"Zurich","RSV",0.2,60,0.530147895335609,-0.0698521046643919,0.243458475540387,0.0434584755403868
"Zurich","RSV",0.8,60,0.530147895335609,-0.0698521046643919,0.772468714448237,-0.0275312855517636
"Zurich","RSV",0.15,70,0.651877133105802,-0.0481228668941979,0.200227531285552,0.0502275312855521
"Zurich","RSV",0.85,70,0.651877133105802,-0.0481228668941979,0.84641638225256,-0.00358361774744026
"Zurich","RSV",0.1,80,0.787258248009101,-0.0127417519908989,0.136518771331058,0.0365187713310579
"Zurich","RSV",0.9,80,0.787258248009101,-0.0127417519908989,0.910125142207053,0.0101251422070533
"Zurich","RSV",0.05,90,0.879408418657565,-0.0205915813424347,0.0875995449374289,0.0375995449374287
"Zurich","RSV",0.95,90,0.879408418657565,-0.0205915813424347,0.948805460750853,-0.00119453924914662
"Zurich","RSV",0.005,99,0.976109215017065,-0.0138907849829353,0.0318543799772469,0.0268543799772467
"Zurich","RSV",0.995,99,0.976109215017065,-0.0138907849829353,0.989761092150171,-0.00523890784982944
"Lugano","SARS-CoV-2",0.5,0,0,0,0.482115085536547,-0.0178849144634526
"Lugano","SARS-CoV-2",0.45,10,0.116640746500778,0.0166407465007777,0.430793157076205,-0.0192068429237946
"Lugano","SARS-CoV-2",0.55,10,0.116640746500778,0.0166407465007777,0.547433903576983,-0.00256609642301727
"Lugano","SARS-CoV-2",0.4,20,0.200622083981337,0.00062208398133794,0.398133748055988,-0.00186625194401252
"Lugano","SARS-CoV-2",0.6,20,0.200622083981337,0.00062208398133794,0.598755832037325,-0.00124416796267482
"Lugano","SARS-CoV-2",0.35,30,0.276827371695179,-0.0231726283048216,0.359253499222395,0.00925349922239487
"Lugano","SARS-CoV-2",0.65,30,0.276827371695179,-0.0231726283048216,0.636080870917574,-0.0139191290824262
"Lugano","SARS-CoV-2",0.3,40,0.388802488335925,-0.0111975116640738,0.307931570762053,0.00793157076205253
"Lugano","SARS-CoV-2",0.7,40,0.388802488335925,-0.0111975116640738,0.696734059097978,-0.00326594090202153
"Lugano","SARS-CoV-2",0.25,50,0.506998444790047,0.00699844479004666,0.265940902021773,0.0159409020217729
"Lugano","SARS-CoV-2",0.75,50,0.506998444790047,0.00699844479004666,0.77293934681182,0.0229393468118196
"Lugano","SARS-CoV-2",0.2,60,0.584758942457232,-0.0152410575427694,0.223950233281493,0.0239502332814929
"Lugano","SARS-CoV-2",0.8,60,0.584758942457232,-0.0152410575427694,0.808709175738725,0.0087091757387245
"Lugano","SARS-CoV-2",0.15,70,0.673405909797823,-0.0265940902021784,0.16796267496112,0.0179626749611206
"Lugano","SARS-CoV-2",0.85,70,0.673405909797823,-0.0265940902021784,0.841368584758942,-0.00863141524105763
"Lugano","SARS-CoV-2",0.1,80,0.749611197511664,-0.0503888024883336,0.129082426127527,0.029082426127526
"Lugano","SARS-CoV-2",0.9,80,0.749611197511664,-0.0503888024883336,0.878693623639191,-0.0213063763608082
"Lugano","SARS-CoV-2",0.05,90,0.861586314152411,-0.0384136858475882,0.0793157076205288,0.0293157076205292
"Lugano","SARS-CoV-2",0.95,90,0.861586314152411,-0.0384136858475882,0.940902021772939,-0.00909797822706043
"Lugano","SARS-CoV-2",0.005,99,0.956454121306376,-0.0335458786936223,0.0342146189735614,0.0292146189735623
"Lugano","SARS-CoV-2",0.995,99,0.956454121306376,-0.0335458786936223,0.990668740279938,-0.00433125972006229
"Lugano","IAV",0.5,0,0.169014084507042,0.169014084507042,0.612676056338028,0.112676056338028
"Lugano","IAV",0.45,10,0.246478873239437,0.146478873239437,0.570422535211268,0.120422535211267
"Lugano","IAV",0.55,10,0.246478873239437,0.146478873239437,0.647887323943662,0.0978873239436622
"Lugano","IAV",0.4,20,0.33943661971831,0.13943661971831,0.529577464788732,0.129577464788732
"Lugano","IAV",0.6,20,0.33943661971831,0.13943661971831,0.698591549295775,0.0985915492957744
"Lugano","IAV",0.35,30,0.419718309859155,0.119718309859155,0.490140845070423,0.140140845070423
"Lugano","IAV",0.65,30,0.419718309859155,0.119718309859155,0.73943661971831,0.0894366197183102
"Lugano","IAV",0.3,40,0.525352112676056,0.125352112676056,0.440845070422535,0.140845070422535
"Lugano","IAV",0.7,40,0.525352112676056,0.125352112676056,0.794366197183099,0.0943661971830981
"Lugano","IAV",0.25,50,0.604225352112676,0.104225352112676,0.401408450704225,0.151408450704225
"Lugano","IAV",0.75,50,0.604225352112676,0.104225352112676,0.830985915492958,0.0809859154929577
"Lugano","IAV",0.2,60,0.683098591549296,0.0830985915492952,0.369014084507042,0.169014084507042
"Lugano","IAV",0.8,60,0.683098591549296,0.0830985915492952,0.873239436619718,0.0732394366197187
"Lugano","IAV",0.15,70,0.759154929577465,0.0591549295774651,0.329577464788732,0.179577464788732
"Lugano","IAV",0.85,70,0.759154929577465,0.0591549295774651,0.902816901408451,0.0528169014084503
"Lugano","IAV",0.1,80,0.836619718309859,0.0366197183098589,0.285915492957746,0.185915492957747
"Lugano","IAV",0.9,80,0.836619718309859,0.0366197183098589,0.922535211267606,0.0225352112676055
"Lugano","IAV",0.05,90,0.933802816901408,0.0338028169014086,0.229577464788732,0.179577464788733
"Lugano","IAV",0.95,90,0.933802816901408,0.0338028169014086,0.961971830985916,0.0119718309859155
"Lugano","IAV",0.005,99,0.998591549295775,0.0085915492957745,0.204225352112676,0.199225352112676
"Lugano","IAV",0.995,99,0.998591549295775,0.0085915492957745,1,0.00499999999999992
"Lugano","RSV",0.5,0,0.0398293029871977,0.0398293029871977,0.549075391180654,0.0490753911806543
"Lugano","RSV",0.45,10,0.140825035561878,0.0408250355618776,0.503556187766714,0.0535561877667139
"Lugano","RSV",0.55,10,0.140825035561878,0.0408250355618776,0.600284495021337,0.0502844950213373
"Lugano","RSV",0.4,20,0.233285917496444,0.0332859174964441,0.466571834992888,0.0665718349928884
"Lugano","RSV",0.6,20,0.233285917496444,0.0332859174964441,0.655761024182077,0.0557610241820763
"Lugano","RSV",0.35,30,0.305832147937411,0.00583214793741097,0.423897581792319,0.0738975817923179
"Lugano","RSV",0.65,30,0.305832147937411,0.00583214793741097,0.684210526315789,0.03421052631579
"Lugano","RSV",0.3,40,0.388335704125178,-0.0116642958748221,0.382645803698435,0.0826458036984353
"Lugano","RSV",0.7,40,0.388335704125178,-0.0116642958748221,0.722617354196302,0.0226173541963017
"Lugano","RSV",0.25,50,0.48221906116643,-0.0177809388335704,0.339971550497866,0.0899715504978663
"Lugano","RSV",0.75,50,0.48221906116643,-0.0177809388335704,0.765291607396871,0.0152916073968706
"Lugano","RSV",0.2,60,0.571834992887625,-0.028165007112376,0.297297297297297,0.097297297297297
"Lugano","RSV",0.8,60,0.571834992887625,-0.028165007112376,0.803698435277383,0.00369843527738227
"Lugano","RSV",0.15,70,0.655761024182077,-0.0442389758179237,0.266002844950213,0.116002844950213
"Lugano","RSV",0.85,70,0.655761024182077,-0.0442389758179237,0.840682788051209,-0.00931721194879143
"Lugano","RSV",0.1,80,0.741109530583215,-0.0588904694167845,0.221906116642959,0.121906116642959
"Lugano","RSV",0.9,80,0.741109530583215,-0.0588904694167845,0.870554765291607,-0.0294452347083917
"Lugano","RSV",0.05,90,0.847795163584637,-0.0522048364153615,0.155049786628734,0.105049786628734
"Lugano","RSV",0.95,90,0.847795163584637,-0.0522048364153615,0.907539118065434,-0.0424608819345663
"Lugano","RSV",0.005,99,0.960170697012802,-0.0298293029871969,0.109530583214794,0.104530583214794
"Lugano","RSV",0.995,99,0.960170697012802,-0.0298293029871969,0.974395448079659,-0.0206045519203415
"Chur","SARS-CoV-2",0.5,0,0,0,0.534555712270804,0.034555712270804
"Chur","SARS-CoV-2",0.45,10,0.131170662905501,0.0311706629054999,0.473906911142454,0.0239069111424546
"Chur","SARS-CoV-2",0.55,10,0.131170662905501,0.0311706629054999,0.605077574047955,0.0550775740479549
"Chur","SARS-CoV-2",0.4,20,0.269393511988717,0.0693935119887152,0.397743300423131,-0.00225669957686832
"Chur","SARS-CoV-2",0.6,20,0.269393511988717,0.0693935119887152,0.667136812411848,0.0671368124118472
"Chur","SARS-CoV-2",0.35,30,0.382228490832158,0.0822284908321599,0.335684062059238,-0.0143159379407626
"Chur","SARS-CoV-2",0.65,30,0.382228490832158,0.0822284908321599,0.717912552891396,0.0679125528913969
"Chur","SARS-CoV-2",0.3,40,0.516220028208745,0.116220028208742,0.258110014104372,-0.0418899858956264
"Chur","SARS-CoV-2",0.7,40,0.516220028208745,0.116220028208742,0.774330042313117,0.0743300423131163
"Chur","SARS-CoV-2",0.25,50,0.647390691114245,0.147390691114245,0.179125528913963,-0.0708744710860367
"Chur","SARS-CoV-2",0.75,50,0.647390691114245,0.147390691114245,0.826516220028209,0.0765162200282088
"Chur","SARS-CoV-2",0.2,60,0.744710860366714,0.144710860366716,0.122708039492243,-0.077291960507759
"Chur","SARS-CoV-2",0.8,60,0.744710860366714,0.144710860366716,0.867418899858956,0.0674188998589574
"Chur","SARS-CoV-2",0.15,70,0.847672778561354,0.147672778561352,0.077574047954866,-0.0724259520451329
"Chur","SARS-CoV-2",0.85,70,0.847672778561354,0.147672778561352,0.92524682651622,0.075246826516219
"Chur","SARS-CoV-2",0.1,80,0.905500705218618,0.10550070521862,0.0451339915373766,-0.0548660084626244
"Chur","SARS-CoV-2",0.9,80,0.905500705218618,0.10550070521862,0.950634696755994,0.0506346967559952
"Chur","SARS-CoV-2",0.05,90,0.959097320169252,0.0590973201692534,0.0141043723554302,-0.0358956276445703
"Chur","SARS-CoV-2",0.95,90,0.959097320169252,0.0590973201692534,0.973201692524683,0.0232016925246831
"Chur","SARS-CoV-2",0.005,99,1,0.00999999999999985,0,-0.00499999999999992
"Chur","SARS-CoV-2",0.995,99,1,0.00999999999999985,1,0.00499999999999992
"Chur","IAV",0.5,0,0.0390492359932088,0.0390492359932088,0.629881154499151,0.129881154499151
"Chur","IAV",0.45,10,0.132427843803056,0.0324278438030561,0.582342954159593,0.132342954159591
"Chur","IAV",0.55,10,0.132427843803056,0.0324278438030561,0.67402376910017,0.124023769100171
"Chur","IAV",0.4,20,0.247877758913413,0.0478777589134125,0.521222410865874,0.121222410865875
"Chur","IAV",0.6,20,0.247877758913413,0.0478777589134125,0.726655348047538,0.126655348047538
"Chur","IAV",0.35,30,0.32258064516129,0.0225806451612902,0.477079796264856,0.127079796264856
"Chur","IAV",0.65,30,0.32258064516129,0.0225806451612902,0.755517826825127,0.105517826825128
"Chur","IAV",0.3,40,0.409168081494058,0.00916808149405791,0.431239388794567,0.131239388794568
"Chur","IAV",0.7,40,0.409168081494058,0.00916808149405791,0.792869269949066,0.092869269949066
"Chur","IAV",0.25,50,0.505942275042445,0.00594227504244482,0.366723259762309,0.116723259762309
"Chur","IAV",0.75,50,0.505942275042445,0.00594227504244482,0.825127334465195,0.0751273344651952
"Chur","IAV",0.2,60,0.592529711375212,-0.00747028862478813,0.310696095076401,0.1106960950764
"Chur","IAV",0.8,60,0.592529711375212,-0.00747028862478813,0.855687606112054,0.0556876061120539
"Chur","IAV",0.15,70,0.714770797962649,0.0147707979626486,0.229202037351443,0.0792020373514438
"Chur","IAV",0.85,70,0.714770797962649,0.0147707979626486,0.894736842105263,0.044736842105263
"Chur","IAV",0.1,80,0.840407470288625,0.0404074702886247,0.140916808149406,0.0409168081494058
"Chur","IAV",0.9,80,0.840407470288625,0.0404074702886247,0.926994906621392,0.026994906621392
"Chur","IAV",0.05,90,0.928692699490662,0.0286926994906619,0.0916808149405773,0.0416808149405773
"Chur","IAV",0.95,90,0.928692699490662,0.0286926994906619,0.959252971137521,0.00925297113752112
"Chur","IAV",0.005,99,0.99490662139219,0.00490662139219011,0.0611205432937182,0.0561205432937182
"Chur","IAV",0.995,99,0.99490662139219,0.00490662139219011,0.99490662139219,-9.33786078098503e-05
"Chur","RSV",0.5,0,0,0,0.520231213872832,0.0202312138728324
"Chur","RSV",0.45,10,0.104046242774566,0.00404624277456663,0.465317919075145,0.015317919075144
"Chur","RSV",0.55,10,0.104046242774566,0.00404624277456663,0.567919075144509,0.0179190751445094
"Chur","RSV",0.4,20,0.19364161849711,-0.00635838150289004,0.419075144508671,0.0190751445086713
"Chur","RSV",0.6,20,0.19364161849711,-0.00635838150289004,0.608381502890173,0.00838150289017262
"Chur","RSV",0.35,30,0.297687861271676,-0.00231213872832394,0.367052023121387,0.0170520231213866
