"wwtp","target","infection_trend_type","bias","nudge_y"
"Zurich","SARS-CoV-2","increasing",-0.169399350649351,0.375
"Zurich","SARS-CoV-2","decreasing",0.10420665922619,0.225
"Zurich","IAV","increasing",0.00547969187675071,0.075
"Zurich","IAV","decreasing",0.010894777265745,-0.075
"Zurich","RSV","increasing",-0.112682453416149,-0.225
"Zurich","RSV","decreasing",0.0525319727891156,-0.375
"Lugano","SARS-CoV-2","increasing",-0.164980867346939,0.375
"Lugano","SARS-CoV-2","decreasing",0.126329156223893,0.225
"Lugano","IAV","increasing",-0.0725921658986175,0.075
"Lugano","IAV","decreasing",0.0752678571428572,-0.075
"Lugano","RSV","increasing",-0.0868813628899835,-0.225
"Lugano","RSV","decreasing",0.0780812324929972,-0.375
"Chur","SARS-CoV-2","increasing",-0.161200738916256,0.375
"Chur","SARS-CoV-2","decreasing",0.107265684051398,0.225
"Chur","IAV","increasing",0.0837065018315018,0.075
"Chur","IAV","decreasing",0.144616181657848,-0.075
"Chur","RSV","increasing",-0.175848214285714,-0.225
"Chur","RSV","decreasing",0.175256493506494,-0.375
